ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
49	DNMT3B complex	Human	None	None	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	8467;24137;10592;3065;25942;10051;1789	MI:0019- coimmunoprecipitation	GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	10.01.09.01;10.01.09.05;10.03.01.01.11;10.03.04.05;42.10.03;70.10.03	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	SNF2H, WCRF135;KIF4;CAPE SMC2L1;RPD3L1;None;CAPC SMC4L1;None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B	15148359	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Chromosome-associated kinesin KIF4A ;Structural maintenance of chromosomes protein 2;Histone deacetylase 1;Paired amphipathic helix protein Sin3a;Structural maintenance of chromosomes protein 4;DNA
50	RAB5-RABAPTIN5\u2013RABEX5 complex	Human	RAB5A-RABEP1\u2013RABGEF complex	HeLa cells	P20339;Q15276;Q9UJ41	5868;9135;27342	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	RAB5;RABAPTIN-5, RAB5EP, RABPT5, RABPT5A;RABEX5	The Rab5-binding protein, Rabex-5 forms a tight physical complex with Rabaptin-5, and this complex is essential for endocytic membrane fusion. Both Rabaptin-5 and Rabex-5 are recruited by immobilized Rab5.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RAB5A;RABEP1;RABGEF1	9323142	Ras-related protein Rab-5A;Rab GTPase-binding effector protein 1;Rab5 GDP/GTP exchange factor
52	CCT complex (chaperonin containing TCP1 complex)	Mouse	TRiC	None	P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318	21454;12469;12468;12461;12464;12465;None;12462	MI:0029-cosedimentation through density gradients;MI:0091-chromatography technologies	GO:0050821;GO:0006457;GO:0005524;GO:0005737	protein stabilization;protein folding;ATP binding;cytoplasm	14.01;16.19.03;70.03	protein folding and stabilization;ATP binding;cytoplasm	Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cct6, Cctz, Cctz1;Cctg	The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated. Sequence analysis of the TriC subunits was shown in PMID:9013858, PMID:2377466, PMID:7953530 and PMID:7890169.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3	9013858	T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma
53	Gbeta5-rgs7 complex	Rat	None	brain	P49803;P62882	54296;83579	MI:0006- anti bait coimmunoprecipitation	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	;	The authors demonstrated the presence of the heterodimeric RGS7/Gb5 complex throughout many areas of the adult rat brain, with a role as yet undefined on the dynamics of typical Gbg-mediated neuronal pathway activation/desensitization mechanisms.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Rgs7;Gnb5	10723068	Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein subunit beta-5
54	SIN3 complex	Human	Histone deacetylase complex	HeLa nuclear extract	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	10284;8819;5928;3065;5931;3066;25942	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	None;None;RBAP48;RPD3L1;RBAP46;None;None	An important event in gene expression is the covalent modification of histone proteins. Histone deacetylases and SAP18 are components of a human Sin3 complex. SAP18 exists in the same complex with mSin3 and HDAC1, and SAP18 enhances mSin3-HDAC1-mediated transcriptional repression.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A	9150135	Histone deacetylase complex subunit SAP18;Histone deacetylase complex subunit SAP30;Histone-binding protein RBBP4;Histone deacetylase 1;Histone-binding protein RBBP7;Histone deacetylase 2;Paired amphipathic helix protein Sin3a
55	HDAC4-ERK1 complex	Human	None	None	P27361;P56524	5595;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	ERK1, PRKM3;KIAA0288	ERK1 activity links the Ras-MAPK signal transduction pathway to a mechanism for chromatin remodeling (i.e., histone deacetylation).	None	Homo sapiens (Human);Homo sapiens (Human)	None	MAPK3;HDAC4	11114188	Mitogen-activated protein kinase 3;Histone deacetylase 4
56	Elongin (SIII) complex	Rat	None	None	P62870;P83941;Q63187	81807;64525;25562	MI:0227-reverse phase chromatography	GO:0006354;GO:0045893;GO:0043085;GO:0005634	DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;positive regulation of catalytic activity;nucleus	11.02.03.01.04;11.02.03.04.01;18.02.01.01;70.10	transcription elongation;transcription activation;enzyme activator;nucleus	None;None;None	The elongin (SIII) complex strongly stimulates the rate of elongation by RNA polymerase II by suppressing transient pausing by polymerase at many sites along the DNA. In mammals, elongin is a trimeric complex. Elongin A is the catalytic subunit. Elongins B and C form a binary complex that is capable of enhancing the transcriptional activity of elongin A.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Tceb2;Tceb1;Tceb3	8244996	Transcription elongation factor B polypeptide 2;Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 3
57	HDAC4-ERK2 complex	Human	None	None	P28482;P56524	5594;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	ERK2, PRKM1, PRKM2;KIAA0288	None	None	Homo sapiens (Human);Homo sapiens (Human)	None	MAPK1;HDAC4	11114188	Mitogen-activated protein kinase 1;Histone deacetylase 4
58	SMRT complex	Human	NCOR2 complex	HeLa nuclear extract	O15379;O60907;Q13227;Q9BZK7;Q9Y618	8841;6907;2874;79718;9612	MI:0019-coimmunoprecipitation;MI:0004-affinity chromatography technologies;MI:0096-pull down;MI:0069-mass spectrometry studies of complexes	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	None;TBL1;None;IRA1 TBLR1;SMRT, CTG26	Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. IR10, a subunit of the N-CoR complex, does not associate with SMRT (NCOR2).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2	12628926	Histone deacetylase 3;F-box-like/WD repeat-containing protein TBL1X;G protein pathway suppressor 2;F-box-like/WD repeat-containing protein TBL1XR1;Nuclear receptor corepressor 2
59	AP3 adaptor complex	Human	None	None	O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2	8546;8943;10947;10239;8120;1176;26985	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0006892;GO:0006897;GO:0005773;GO:0005764	intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome	14.04;20.01.10;20.09.07.06;20.09.18.09.01;70.25	protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome	ADTB3A;None;None;None;None;CLAPS3;None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1	9151686	AP-3 complex subunit beta-1;AP-3 complex subunit delta-1;AP-3 complex subunit mu-2;AP-3 complex subunit sigma-2;AP-3 complex subunit beta-2;AP-3 complex subunit sigma-1;AP-3 complex subunit mu-1
60	Interferon-stimulated gene factor 3 transcription complex ISGF3	Human	None	None	P42224;P52630;Q00978	6772;6773;10379	MI:0004- affinity chromatography technologies	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus	11.02.03.04;70.10	transcriptional control;nucleus	None;;ISGF3G	The p48 and Stat1:2 heterodimer do not associate stably in the absence of DNA.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	STAT1;STAT2;IRF9	8943351	Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription 2 ;Interferon regulatory factor 9
61	Mi2/NuRD complex	Human	Mi2-beta-histone deacetylase complex	None	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769	9219;53615;5928;3065;1108;5931;3066	MI:0004-affinity chromatography technologies	GO:0006265;GO:0045892;GO:0032774;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;11.02;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;organization of chromosome structure;nucleus	MTA1L1 PID;None;RBAP48;RPD3L1;None;RBAP46;None	None	Dermatomyositis, cancer (PMID:9790534)	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2	9790534	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;Histone-binding protein RBBP4;Histone deacetylase 1;Chromodomain-helicase-DNA-binding protein 4;Histone-binding protein RBBP7;Histone deacetylase 2
62	MeCP1 complex	Human	Mi2/NuRD-MBD2 complex	None	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5	9219;53615;5928;3065;1108;5931;3066;8932	MI:0096-pull down	GO:0006265;GO:0045892;GO:0003677;GO:0051276;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;16.03.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;DNA binding;organization of chromosome structure;nucleus	MTA1L1 PID;None;RBAP48;RPD3L1;None;RBAP46;None;None	MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes.	CHD4 is involved in dermatomyositis (PMID:9790534).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2	10444591	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;Histone-binding protein RBBP4;Histone deacetylase 1;Chromodomain-helicase-DNA-binding protein 4;Histone-binding protein RBBP7;Histone deacetylase 2;Methyl-CpG-binding domain protein 2
65	Multiprotein trafficking complex	Rat	SAP97-CASK-VELI-MINT1 complex	brain	O35430;P52188;Q62696;Q62915;Q792I0	83589;117052;25252;29647;60442	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0008324;GO:0006812;GO:0015267;GO:0050896	cation transmembrane transporter activity;cation transport;channel activity;response to stimulus	20.01.01.01;20.03.01;36.25	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);channel / pore class transport;animal specific systemic sensing and response	Mint1 X11;Irk2;Dlgh1, SAP97;None;Mals3 Veli3	This macromolecular complex participates in trafficking and plasma membrane localization of Kir2 channels (PMID:14960569).	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Apba1;Kcnj12;Dlg1;Cask;Lin7c	14960569	Amyloid beta A4 precursor protein-binding family A member 1;ATP-sensitive inward rectifier potassium channel 12 ;Disks large homolog 1;Peripheral plasma membrane protein CASK;Protein lin-7 homolog C
66	TRAP complex	Human	thyroid hormone receptor-associated protein complex	HeLa cells	O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0	9282;9862;7067;5469;9968;9440;9967;10025	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation;MI:0276-blue native page	GO:0045893;GO:0030545;GO:0009755;GO:0023052;GO:0005634	positive regulation of transcription, DNA-templated;receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus	11.02.03.04.01;18.02.07;30.01.09.08;30.01;70.10	transcription activation;regulator of receptor activity;hormone mediated signal transduction;cellular signalling;nucleus	ARC150, CRSP2, CXorf4, DRIP150, EXLM1, RGR1, TRAP170;ARC100, CRSP4, DRIP100, KIAA0130, THRAP4, TRAP100;EAR7 ERBA1 NR1A1 THRA1 THRA2;ARC205, CRSP1, CRSP200, DRIP205, DRIP230, PBP, PPARBP, PPARGBP, RB18A, TRAP220, TRIP2;TRAP230, ARC240, CAGH45, HOPA, KIAA0192, TNRC11;ARC77, CRSP6, DRIP77, DRIP80, TRAP80;TRAP150;DRIP92, THRAP5, TRAP95	The human thyroid hormone receptor-associated protein (TRAP) complex is a coactivator for nuclear receptors. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TRAP97 and 93 could not be found in the Uniprot database.	MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16	8710870	Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 24;Thyroid hormone receptor alpha;Mediator of RNA polymerase II transcription subunit 1;Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 17;Thyroid hormone receptor-associated protein 3;Mediator of RNA polymerase II transcription subunit 16
67	AP4 adaptor complex	Human	None	None	O00189;Q9UPM8;Q9Y587;Q9Y6B7	9179;23431;11154;10717	MI:0019- coimmunoprecipitation; MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0005515;GO:0006892;GO:0006897;GO:0030133;GO:0005794	intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus	14.04;20.01.10;16.01;20.09.07.06;20.09.18.09.01;70.09;70.08	protein targeting, sorting and translocation;protein transport;protein binding;post Golgi transport;endocytosis;intracellular transport vesicles;Golgi	MUARP2;;;	Adaptor protein complexes (APs) function as vesicle coat components in different membrane traffic pathways.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	AP4M1;AP4E1;AP4S1;AP4B1	10436028	AP-4 complex subunit mu-1 ;AP-4 complex subunit epsilon-1 ;AP-4 complex subunit sigma-1 ;AP-4 complex subunit beta-1
